firstName,lastName,graduationYear,otherDegrees,profession,board,positionHeld,streetAddress1,city,state,zipCode,email1
Grace,Priolo,2017,,poet,Features,Hestia,"88628 Stehr Islands
Millsmouth,",South Latonyaland,West Virginia,46389,zander56@yahoo.com
Mildred,Stellhorn,1997,,professor,Business,Fiction Editor,006 Mayer Junctions,New Valinda,California,75529,jaskolski.edie@gmail.com
Jennifer,Mirabella,2018,,chef,Business,Poetry Editor,"USNV Rau
FPO AP",North Guadalupeland,Wyoming,30745,cap.schuster@gmail.com
Karl,Garcia,1980,,teacher,Fiction,Technology Editor,"635 Jarrod Gardens
Schimmelfurt,",Hintzfurt,Massachusetts,93408,considine.else@hotmail.com
Chad,Williams,2018,,writer,Fiction,Fiction Editor,57588 Kunze Viaduct,East Aleahside,Vermont,93616,rolfson.tre@white.org
Ronald,Mckinney,1945,PhD,poet,Poetry,Blog Editor,004 Lebsack Wall,Joycelynport,Washington,24663,kennedy.kutch@dach.com
Mark,Mastriano,2002,,lawyer,Technology,President,"3038 Parker Spur
Ovafurt,",Jaedastad,Ohio,76587,schmitt.demetrius@strosin.com
Geraldo,Rice,1951,MD,doctor,Art,Features Editor,6270 Hand Forest,Kulasberg,New Mexico,67475,mckenzie.villa@hotmail.com
Sylvia,Wahl,2019,,poet,Business,Alumni Relations Manager,"26873 Georgeann Station
West",East Fidencio,Georgia,47648,layton.stark@beattybahringer.com
Andrew,Finlay,1948,,chef,Design,Alumni Relations Manager,38253 Treutel Course,South Taniya,Minnesota,59892,adams.sherlyn@gmail.com
Tiffany,Najera,2019,JD,writer,Business,Alumni Relations Manager,7002 Robbie Plain,Port Khloefurt,South Dakota,41230,rath.mathilda@klein.com
Antoinette,Terrazas,2010,JD,doctor,Technology,President,"1072 Verle Way
Steuberstad,",West Normand,Delaware,82851,mamie51@howe.com
Arturo,Karst,1955,,lawyer,Business,Poetry Editor,"698 Schulist Island
Blairshire,",North Gerry,Tennessee,22471,rstrosin@gutkowskimueller.com
Lisa,Andrews,2002,,publisher,Art,Alumni Relations Manager,"PSC 2131, Box",East Ethyle,Utah,82708,rodriguez.dangelo@rowe.info
Julia,Zappala,1976,,doctor,Features,Communicorn,Unit 1055 Box,Cleviemouth,Kansas,11936,regis.blick@smithamturner.com
Richard,Amundson,2015,,writer,Poetry,Technology Editor,"48570 Hank Inlet
Almonland,",Wuckertmouth,Hawaii,46508,bartell.aylin@bartellhaag.net
Angela,Rael,2011,,chef,Technology,Poetry Editor,"81666 Ryan Rapid
Arianafort,",South Eudoraport,Oklahoma,22311,logan.brakus@lubowitz.com
John,Jackson,1973,JD,writer,Art,Blog Editor,4224 Tromp Land,West Deneen,Idaho,64766,orland.schamberger@koelpin.net
Amber,Baker,1990,JD,publisher,Technology,Business Manager,323 Hailie Highway,South Diann,Arkansas,28292,bernier.eddie@altenwerth.com
